day,daily_pnl,cum_pnl,pc_budget,pnl_Fintech Token,pnl_Thrifted Jeans,pnl_UQ Dollar,pnl_Sausage Sizzle,pnl_Bread,pnl_MenuDash,pnl_Sausage,pnl_Liferaft Ticket,pnl_Boat Party Ticket,pos_Fintech Token,pos_Thrifted Jeans,pos_UQ Dollar,pos_Sausage Sizzle,pos_Bread,pos_MenuDash,pos_Sausage,pos_Liferaft Ticket,pos_Boat Party Ticket
99,924.5,132754.40999999997,96.99,-1356.0,-313.2,253.5,90.0,-0.0,1500.0,0.2,0.0,750.0,-100,60,0,-100,48,-100,-100,-100,-100
100,1242.79,133997.19999999998,97.0,2472.0,-1996.8,0.0,420.0,-2.41,-0.0,-0.0,0.0,350.0,100,60,-100,-100,0,-100,0,-100,100
101,2783.2,136780.4,97.0,1808.0,-76.8,832.0,150.0,0.0,750.0,-0.0,0.0,-680.0,-100,38,100,100,0,-100,0,-100,100
102,5811.36,142591.75999999998,96.99,1585.0,1051.41,65.0,210.0,-0.0,2250.0,-0.05,0.0,650.0,100,60,0,-100,62,100,-100,-100,-100
103,4994.68,147586.43999999997,96.99,657.0,2260.8,0.0,330.0,-43.12,1500.0,-0.0,0.0,290.0,100,60,0,-100,-43,-100,-100,-100,100
104,1705.49,149291.92999999996,97.0,1084.0,681.6,-0.0,-0.0,-100.11,-0.0,50.0,0.0,-10.0,-100,37,100,-100,0,-100,0,-100,100
105,6015.5,155307.42999999996,97.0,1873.0,588.0,-565.5,150.0,0.0,750.0,0.0,0.0,3220.0,100,47,100,100,0,100,0,-100,-100
106,3669.18,158976.60999999996,96.99,-153.0,1049.83,702.0,270.0,0.0,1500.0,0.35,0.0,300.0,100,60,0,100,35,-100,100,-100,-100
107,1130.0,160106.60999999996,96.99,1379.0,-672.0,-0.0,270.0,-177.0,-0.0,0.0,0.0,330.0,-100,60,0,-100,22,-100,100,100,100
108,-451.42,159655.18999999994,97.0,-796.0,249.6,0.0,330.0,-85.02,-750.0,200.0,0.0,400.0,-100,0,-100,-92,0,-100,0,100,-100
109,-87.06,159568.12999999995,97.0,1095.0,-0.0,305.5,-27.56,0.0,-1500.0,0.0,0.0,40.0,-100,0,100,96,0,-100,0,100,100
110,-1335.38,158232.74999999994,97.0,-1573.0,-0.0,182.0,115.52,-0.0,750.0,0.1,0.0,-810.0,-100,60,0,-100,-4,-100,100,100,100
111,5259.66,163492.40999999995,97.0,1394.0,-2553.6,-0.0,210.0,19.26,5250.0,350.0,0.0,590.0,100,0,100,99,0,100,0,100,-100
112,-3790.1,159702.30999999994,97.0,855.0,-0.0,-435.5,-29.72,0.0,-1500.0,0.12,0.0,-2680.0,-100,0,100,90,0,100,0,100,-100
113,2547.4,162249.70999999993,96.98,1299.0,0.0,565.5,162.9,0.0,0.0,-0.0,0.0,520.0,100,60,0,-100,-20,100,100,100,-100
114,1342.41,163592.11999999994,97.0,1660.0,1435.2,-0.0,90.0,177.21,-2250.0,-150.0,0.0,380.0,-100,4,100,-100,0,100,0,100,100
115,478.83,164070.94999999992,97.0,-3592.0,-197.88,58.5,630.0,-0.0,3000.0,0.21,0.0,580.0,-100,0,100,-88,0,100,0,100,-100
116,-243.12,163827.82999999993,97.0,-160.0,-0.0,598.0,158.94,0.0,-1500.0,-0.06,0.0,660.0,-100,0,-100,-94,0,100,0,100,100
117,-185.71,163642.11999999994,97.0,-1813.0,-0.0,695.5,-28.27,-0.0,0.0,0.06,0.0,960.0,-100,0,100,-85,0,100,0,100,-100
118,-3251.34,160390.77999999994,96.99,-1904.0,-0.0,149.5,153.18,-0.0,-2250.0,-0.02,0.0,600.0,-100,60,0,-100,-19,100,100,100,100
119,599.29,160990.06999999995,97.0,52.0,873.6,-0.0,450.0,123.69,1500.0,50.0,0.0,-2450.0,-100,0,100,-96,0,100,0,100,100
120,2940.16,163930.22999999995,96.99,2182.0,-0.0,221.0,347.16,-0.0,750.0,0.0,0.0,-560.0,-100,60,0,-100,-44,100,100,-100,100
121,-1097.22,162833.00999999995,97.0,-2755.0,-33.6,-0.0,150.0,-268.62,750.0,-150.0,0.0,1210.0,-100,0,100,92,0,100,0,100,-100
122,1319.02,164152.02999999994,97.0,2019.0,0.0,-97.5,27.47,-0.0,-1500.0,0.05,0.0,870.0,-100,1,100,-100,0,100,0,-100,100
123,3182.25,167334.27999999994,97.0,2928.0,-17.71,182.0,120.0,0.0,-750.0,-0.04,0.0,720.0,100,60,0,100,-32,100,-100,100,-100
124,-914.08,166420.19999999995,97.0,1019.0,-1728.0,0.0,60.0,-55.08,0.0,-0.0,0.0,-210.0,100,0,-100,98,0,100,0,100,-100
125,500.03,166920.22999999995,97.0,-1056.0,0.0,975.0,-58.96,0.0,0.0,-0.01,0.0,640.0,100,27,100,100,0,100,0,-100,100
126,-539.01,166381.21999999994,97.0,295.0,427.49,58.5,-30.0,0.0,750.0,0.0,0.0,-2040.0,100,51,100,100,0,100,0,-100,100
127,581.46,166962.67999999993,97.0,-81.0,314.16,-591.5,60.0,0.0,750.0,-0.2,0.0,130.0,100,60,100,-100,0,-100,-9,-100,100
128,-627.3,166335.37999999995,96.98,-782.0,283.2,721.5,240.0,0.0,-0.0,-0.0,0.0,-1090.0,100,60,0,100,56,-100,-100,-100,100
129,2826.4,169161.77999999994,97.0,490.0,-806.4,-0.0,180.0,-67.2,1500.0,200.0,0.0,1330.0,100,6,100,-100,0,100,0,100,-100
130,-1290.92,167870.85999999993,97.0,523.0,150.96,-65.0,270.0,0.0,-2250.0,0.12,0.0,80.0,-100,0,100,96,0,100,0,100,-100
131,758.26,168629.11999999994,97.0,1257.0,0.0,-97.5,28.79,-0.0,0.0,-0.03,0.0,-430.0,100,0,100,-89,0,100,0,100,-100
